degree,order,beta
3,-3,-0.0005531815159064492
3,-1,0.0007645747231515682
4,1,-0.05461201802448347
4,3,0.02064140252192983
5,-5,0.0008198749665350545
5,-3,-0.0003914173979938568
5,-1,-0.0008437756139823518
6,1,-0.0039317128650954375
6,3,-0.006216583893817173
6,5,0.005323564242235136
7,-3,0.00023446209553902884
8,1,0.011131280093501877
8,3,-0.003088263137340384
8,5,0.0038197900963039817
8,7,-0.003627551708359355
9,-9,-0.0008839159423828606
9,-7,0.0005204657111905745
9,-5,-0.00037277567488896307
9,-3,0.0001807232686197081
9,-1,0.001063353606978248
10,1,0.005119605142462696
10,3,0.004509318483021961
10,5,-0.005471337571731759
10,7,0.004389470481893003
10,9,-0.0029497468729497395
