degree,order,beta
3,1,-0.0007545389618199736
3,3,-0.0005661630603561107
4,-3,0.020626493811192664
4,-1,0.0545725732901888
5,1,0.0008377822076094404
5,3,-0.0003790256683945152
5,5,-0.0008314657377755473
6,-5,-0.005263283792084966
6,-3,-0.006146191493764968
6,-1,0.003887192799395858
7,3,0.00023621818225136654
8,-7,-0.003650740713184982
8,-5,-0.0038105213375619748
8,-3,-0.0029994489945292875
8,-1,-0.011038467579152417
9,1,-0.0010589835096540187
9,3,0.0001690123835899069
9,5,0.00037602489002257287
9,7,0.0005116665550110172
9,9,0.0008950082828537522
10,-9,0.003000689621403314
10,-7,0.004361593492734858
10,-5,0.005369021698498514
10,-3,0.004524327651386584
10,-1,-0.00509697532312795
